context_section,anchor_text,destination_url,link_type,rel_attributes,notes
Maintenance & Tools — Water Change & Cleaning,Flipper Magnetic Aquarium Glass Cleaner & Fish Tank Accessories | Effortless Algae Remover for Fish Tank (Standard),https://amzn.to/46Ml1Wc,affiliate,sponsored noopener noreferrer,Source: data/gear_water_food_tools.csv L12
Maintenance & Tools — Water Change & Cleaning,"25"" Glass Aquariums Algae Scraper – Durable Stainless Steel, Powerfully Remove Stubborn Algae, Professional Fish Tank Cleaner Tools, Includes Sheath, Long Tweezers & 10 Replaceable Blades",https://amzn.to/4nySNFL,affiliate,sponsored noopener noreferrer,Source: data/gear_water_food_tools.csv L13
Maintenance & Tools — Water Change & Cleaning,API ALGAE SCRAPER For Glass Aquariums 1-Count Container,https://amzn.to/3Wqbmjr,affiliate,sponsored noopener noreferrer,Source: data/gear_water_food_tools.csv L14
Maintenance & Tools — Safety & Power,"Power Strip, ALESTOR Surge Protector with 12 Outlets and 4 USB Ports, 6 Feet Extension Cord (1875W/15A), 2700 Joules, ETL Listed, Black",https://amzn.to/3J22Ynb,affiliate,sponsored noopener noreferrer,Source: data/gear_water_food_tools.csv L15
Maintenance & Tools — Safety & Power,"meross Smart Plug Power Strip, WiFi Flat Outlet 15A Compatible with Apple HomeKit, Siri, Alexa, Google Assistant & SmartThings, with 4 AC Outlets & 4 USB Ports, 6 Feet Surge Protector Extender",https://amzn.to/437noBU,affiliate,sponsored noopener noreferrer,Source: data/gear_water_food_tools.csv L16
Maintenance & Tools — Safety & Power,"Meross Smart Water Sensor Alarm 3 Pack, WiFi Water Leak Detector Support Apple HomeKit, SmartThings, IP67 Waterproof with App Alerts, Alarm, 100M Range for Home Basement Kitchen (Meross Hub Included)",https://amzn.to/42sP4ky,affiliate,sponsored noopener noreferrer,Source: data/gear_water_food_tools.csv L17
Maintenance & Tools — Safety & Power,"Linkind Matter Smart Plug, Works with Apple Home, Siri, Alexa, Google, SmartThings, Smart Outlet 15A/1800W Max, Smart Home Automation, App Remote Control, Timer & Schedule, 2.4G Wi-Fi Only (4 Pack)",https://amzn.to/3KDGMQT,affiliate,sponsored noopener noreferrer,Source: data/gear_water_food_tools.csv L18
Maintenance & Tools — Testing & Monitoring,"Inkbird ITC-306A WiFi Temperature Controller, Wi-Fi Aquarium Thermostat Heater Controller 120V~1200W Temperature Control with Two Probes only for Heater Aquarium Breeding Reptiles Hatching.",https://amzn.to/46QJSd3,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L2
Maintenance & Tools — Testing & Monitoring,JW Aquarium SmartTemp Thermometer,https://amzn.to/42uddHB,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L3
Maintenance & Tools — Testing & Monitoring,"2-Pack Aquarium Thermometer, Fish Tank Thermometer, AikTryee Water Thermometer with 3.3ft Cord Fahrenheit/Celsius(℉/℃) for Vehicle Reptile Terrarium Fish Tank Refrigerator.",https://amzn.to/4gYFCLX,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L4
Maintenance & Tools — Air & Aeration,"AQUANEAT Aquarium Check Valve, One Way Non Return Valve for Air Pump, Fit for 3/16 Inch Airline Tubing, Fish Tank Accessories, 10pcs (Red)",https://amzn.to/42wLPZs,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L5
Maintenance & Tools — Air & Aeration,"Aquarium Air Valve, 10 Pcs Aquarium Air Pump Control Valves T Shaped Single Way Plastic Air Flow Control Regulator Aquarium Air Pump Accessories for Fish Tank 3/16"" ID Tubing (Black)",https://amzn.to/46F8DIW,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L6
Maintenance & Tools — Air & Aeration,"ALEGI Aquarium Air Pump Accessories Set 25 Feet Airline Tubing with 6 Check Valves, 6 Control Valve and 40 Connectors for Fish Tank White",https://amzn.to/48S7HlO,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L7
Maintenance & Tools — Cleanup & Extras,"Bounty Quick-Size Paper Towels, White, 12 Family Triple Rolls = 40 Regular Rolls",https://amzn.to/3VRQh1h,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L8
Maintenance & Tools — Cleanup & Extras,"Amazon Basics 2-Ply Soft Toilet Paper, 30 Rolls (5 Packs of 6), Equivalent to 185 Regular Rolls, Packaging May Vary",https://amzn.to/3IAe4jj,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L9
Maintenance & Tools — Cleanup & Extras,"Gorilla Super Glue Gel XL, Clear Glue, 25 Gram (Pack of 2) - All Purpose and Fast Setting for Projects and Repairs",https://amzn.to/4q1j8hj,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L10
Maintenance & Tools — Cleanup & Extras,"ARM & HAMMER Baking Soda Made in USA, Ideal for Baking, Pure & Natural, 2.7lb Bag",https://amzn.to/4haFwRl,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L11
Maintenance & Tools — Cleanup & Extras,"Iberia All Natural Distilled White Vinegar, 1 Gallon - 5% Acidity",https://amzn.to/42wJIF0,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L12
Maintenance & Tools — Cleanup & Extras,"USANOOKS Microfiber Cleaning Cloth Grey - 12 Pcs (12.5""x12.5"") - High Performance - 1200 Washes, Ultra Absorbent Microfiber Towel Weave",https://amzn.to/46YMaWb,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L13
Maintenance & Tools — Cleanup & Extras,"Pack Microfiber Glass Cleaning Cloth, 16 Inch X 16 Inch, Lint Free Quickly Clean Window, Glasses, Windshields, Mirrors, and Stainless Steel, Blue",https://amzn.to/4n4UtWE,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L14
Maintenance & Tools — Cleanup & Extras,JohnBee Empty Spray Bottles (16oz/2Pack) - Adjustable Spray Bottles for Cleaning Solutions - No Leak and Clog - HDPE spray bottle,https://amzn.to/3VXVqEW,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L15
Maintenance & Tools — Cleanup & Extras,Sharpie Permanent Markers Set Quick Drying And Fade Resistant Fine Point Marker For Wood Plastic Paper Metal And More Drawing Coloring And Poster Marker Black 12 Count,https://amzn.to/3VWKh7n,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L16
Maintenance & Tools — Cleanup & Extras,"United Solutions 5-Gallon Heavy-Duty Buckets with Snap-On Lids, 6-Pack – BPA-Free, Food-Grade Plastic, Multi-Purpose Storage – White",https://amzn.to/4mWhPh4,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L17
Maintenance & Tools — Cleanup & Extras,"16/3 25 FT Outdoor Extension Cord Waterproof, Weatherproof & Flame Retardant Black 3 Prong Power Cord Outside",https://amzn.to/4gVDkNm,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L18
Maintenance & Tools — Cleanup & Extras,"Long Straw Brush, Nylon Pipe Tube Cleaner 8.2-ihch 10 Different Diameters Set of 10",https://amzn.to/4gWOJfQ,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L19
Maintenance & Tools — Cleanup & Extras,"IRIS USA 20-Pack Storage Bins with Lids, 6 Quart, Shoe Boxes Clear Stackable Containers",https://amzn.to/48S6tac,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L20
Maintenance & Tools — Cleanup & Extras,North Mountain Supply 8 Ounce Glass Regular Mouth Tapered Mason Canning Jars - with Safety Button Lids - Case of 6 (Black Metal Lids),https://amzn.to/4ocwW6V,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L21
Maintenance & Tools — Cleanup & Extras,SKYLA HOMES Baby Locks (8-Pack) Child Safety Cabinet Proofing - 3M Adhesive Cabinet Drawer Door Latches,https://amzn.to/4nO5kFC,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L22
Maintenance & Tools — Cleanup & Extras,"Safety 1st Electrical Outlet Baby Proof Covers, Secure Outlet Plugs, Baby Proofing, 36 Count",https://amzn.to/3IOxfG4,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L23
Maintenance & Tools — Cleanup & Extras,"Aqueon Silicone Aquarium Sealant, Clear, 10.3 oz Cartridge",https://amzn.to/3ID2C6s,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L24
Maintenance & Tools — Nets & Handling,Pawfly Aquarium Fish Net with Braided Metal Handle Square Net with Soft Fine Mesh Sludge Food Residue Wastes Skimming Cleaning Net for Fish Tanks Small Koi Ponds and Pools,https://amzn.to/4nGN3tN,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L25
Maintenance & Tools — Cleanup & Extras,Aqueon Silicone Sealant Clear 3 Ounces (Pack of 2),https://amzn.to/3Ky4jTn,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L26
Maintenance & Tools — Cleanup & Extras,Clear Aquarium Silicone Sealant - 10.2 Fluid oz Cartridge,https://amzn.to/4319YYc,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L27
Maintenance & Tools — Aquascaping Tools,"Aquarium Aquascape Tools Kit, 4 in 1 Anti-Rust Aquatic Plant Aquascaping Tool Stainless Steel Black Tweezers Scissors Spatula for Aquarium Tank Clean Fish Tank Aquascape Accessories Set",https://amzn.to/48lZ6aW,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L28
Maintenance & Tools — Aquascaping Tools,"Aquarium Aquascape Tools Kit, Long 15 Inch Stainless Steel Aquatic Plants Tools, 4 in 1 Anti-Rust Black Aquascaping Tweezers Scissors Spatula Scrapers Tool Set for Fish Tank Cleaning Plant Trimming",https://amzn.to/475FPZg,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L29
Maintenance & Tools — Air & Aeration,Nano CO₂ Diffuser Glass Reactor for Aquarium Planted Tank,https://amzn.to/47cpN0G,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L30
Maintenance & Tools — Air & Aeration,CO₂ Diffuser Glass Reactor with U Shape Connecting Tube for Pollen Aquarium Plants Tank (Large Flat-Bottomed),https://amzn.to/46JZkrm,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L31
Maintenance & Tools — Air & Aeration,Fzone Neo CO₂ Diffuser with Customized Ceramic from South Korea (L-24mm),https://amzn.to/46GvELD,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L32
Maintenance & Tools — Air & Aeration,"Pawfly 16 ft. Aquarium CO₂-Proof Tubing, Standard 3/16"" Airline",https://amzn.to/4h0pkBW,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L33
Maintenance & Tools — Air & Aeration,Pawfly Glass CO₂ Drop Checker (with Solution),https://amzn.to/48SDa7u,affiliate,sponsored noopener noreferrer,Source: data/gear_maintenance.csv L34
Food — Staples (Daily),"Tetra TetraMin Plus Tropical Flakes 2.2 Ounces, Nutritionally Balanced Fish Food With Added Shrimp",https://amzn.to/4o5Ulqx,affiliate,sponsored noopener noreferrer,Source: data/gear_food.csv L2
Food — Staples (Daily),"Fluval Bug Bites Tropical Fish Food, Small Granules for Small to Medium Sized Fish, 1.6 oz., A6577",https://amzn.to/3KBeZAt,affiliate,sponsored noopener noreferrer,Source: data/gear_food.csv L3
Food — Staples (Daily),"Hikari Tropical Semi-Floating Micro Pellets Fish Food, 0.77 oz (22 g)",https://amzn.to/46MbkXO,affiliate,sponsored noopener noreferrer,Source: data/gear_food.csv L4
Food — Staples (Daily),New Life Spectrum Thera A Regular 80 g (Naturox Series),https://amzn.to/4h4JJ9k,affiliate,sponsored noopener noreferrer,Source: data/gear_food.csv L5
Food — Bottom Feeders & Algae,"Hikari Tropical Sinking Wafers for Catfish, Loaches and Bottom Feeders 3.88 oz",https://amzn.to/3IZ8gQj,affiliate,sponsored noopener noreferrer,Source: data/gear_food.csv L6
Food — Bottom Feeders & Algae,Hikari USA AHK21328 Tropical Algae Wafer 8.8 oz,https://amzn.to/4mUNdwq,affiliate,sponsored noopener noreferrer,Source: data/gear_food.csv L7
Food — High-Protein Treats,"Hikari Bio-Pure Freeze Dried Blood Worms, 0.42 oz",https://amzn.to/4nJmKD6,affiliate,sponsored noopener noreferrer,Source: data/gear_food.csv L8
Food — High-Protein Treats,"Hikari Bio-Pure Freeze Dried Brine Shrimp, 0.42 oz",https://amzn.to/4pZsn1q,affiliate,sponsored noopener noreferrer,Source: data/gear_food.csv L9
Food — High-Protein Treats,"Hikari Tropical Shrimp Cuisine Fish Food, 0.35 oz (10 g)",https://amzn.to/46FoPtF,affiliate,sponsored noopener noreferrer,Source: data/gear_food.csv L10
Food — Staples (Daily),TetraColor PLUS Tropical Flakes with Color Enhancing 2.2 oz,https://amzn.to/3WnK90O,affiliate,sponsored noopener noreferrer,Source: data/gear_food.csv L11
Stands & Cabinets — 5-10,"Snughome 10 Gallon Aquarium Stand with Storage (3-Tier, 20.47″ × 11.42″ × 30.91″)",https://amzn.to/4q0RyAQ?tag=fishkeepingli-20,affiliate,sponsored noopener noreferrer,Source: assets/js/generated/gear-stands.json L12
Stands & Cabinets — 10-20,20 Gallon Heavy-Duty Metal Aquarium Stand (24.8″ × 13″ × 30″),https://amzn.to/4pZswSt?tag=fishkeepingli-20,affiliate,sponsored noopener noreferrer,Source: assets/js/generated/gear-stands.json L38
Stands & Cabinets — 20-40,YITAHOME 30″ Metal Aquarium Stand with Power Outlet,https://amzn.to/4nOZOSX?tag=fishkeepingli-20,affiliate,sponsored noopener noreferrer,Source: assets/js/generated/gear-stands.json L64
Stands & Cabinets — 20-40,Heavy-Duty 40 Gallon Metal Aquarium Stand,https://amzn.to/3Wp9JT5?tag=fishkeepingli-20,affiliate,sponsored noopener noreferrer,Source: assets/js/generated/gear-stands.json L90
Stands & Cabinets — 20-40,GRLEAF 20–40 Gallon Aquarium Stand with Power Outlet,https://amzn.to/437Cmb4?tag=fishkeepingli-20,affiliate,sponsored noopener noreferrer,Source: assets/js/generated/gear-stands.json L116
Stands & Cabinets — 40-55,"YITAHOME 40–50 Gallon Fish Tank Stand with Power Outlet, 40x18 Inch Metal Aquarium Stand with 3-Tier Adjustable Storage Shelves and Hooks, 700LBS Capacity, Black",https://amzn.to/43a8nzk,affiliate,sponsored noopener noreferrer,Source: assets/js/generated/gear-stands.json L142
Stands & Cabinets — 40-55,"Reinforced 40–50 Gallon Aquarium Stand with Power Outlet | Ultra-Stable 750LBS Capacity Metal Fish Tank Stand for Reptile/Aquatic Setups, 5-Tier Adjustable 37""x19"" Steel Shelving System",https://amzn.to/48OF35a,affiliate,sponsored noopener noreferrer,Source: assets/js/generated/gear-stands.json L168
Stands & Cabinets — 40-55,"40–50 Gallon Fish Tank Stand, Aquarium Stand with Cabinet Accessories Storage, Heavy Duty Metal Frame, 40.55"" L × 18.89"" W Tabletop, 850 LBS Capacity, Black PG02YGB",https://amzn.to/3KxLPlX,affiliate,sponsored noopener noreferrer,Source: assets/js/generated/gear-stands.json L194
Stands & Cabinets — 40-55,"YITAHOME Heavy Duty 40–50 Gallon Aquarium Stand with Power Outlets, Cabinet for Fish Tank Accessories Storage – Metal Fish Tank Stand Suitable for Fish, Turtle, 660 LBS Capacity, Black",https://amzn.to/3VX1SMr,affiliate,sponsored noopener noreferrer,Source: assets/js/generated/gear-stands.json L220
Stands & Cabinets — 55-75,"4ever2buy 55-75 Gallon Fish Tank Stand with Power Outlets, LED Light, Heavy Duty Aquarium Stand with Cabinet for Fish Tank Accessories Storage, for Turtle Tank, Reptile Terrarium, 1100LBS, Gray",https://amzn.to/4mSgBmE,affiliate,sponsored noopener noreferrer,Source: assets/js/generated/gear-stands.json L246
Stands & Cabinets — 55-75,"GRLEAF 55-75 Gallon Aquarium Stand: 1200LB Capacity, Built-In Power Outlets, 3-Tier Shelves for Fish Tank Accessories Storage, Heavy-Duty Steel/Wood Hybrid for Fish & Reptile Tanks | Excludes Tank",https://amzn.to/48g6zZ9,affiliate,sponsored noopener noreferrer,Source: assets/js/generated/gear-stands.json L272
Stands & Cabinets — 55-75,"DWVO 55-75 Gallon Aquarium Stand with Power Outlets, Cabinet for Fish Tank Accessories Storage - Heavy Duty Metal Fish Tank Stand Suitable for Turtle Tank, Reptile Terrarium, 860LBS Capacity, Black",https://amzn.to/3L0LIPG,affiliate,sponsored noopener noreferrer,Source: assets/js/generated/gear-stands.json L298
Stands & Cabinets — 55-75,"Aquarium Stand with Power Outlets, 55-70 Gallon Fish Tank Stand with 3 Baskets, 2 Storage Shelf, 5-Tier Heavy Duty Metal Tank Stand Suitable for Turtle Tank, Reptile Terrarium",https://amzn.to/3KxyOZA,affiliate,sponsored noopener noreferrer,Source: assets/js/generated/gear-stands.json L324
Stands & Cabinets — 75-up,"GDLF 125-150 Gallon Fish Tank Stand, Heavy Duty Metal Aquarium Stand with Power Outlet and Cabinet for Fish Tank Filters and Accessories, 72.8″ L × 18.9″ W, 2200 LBS Capacity",https://amzn.to/47dCQPo,affiliate,sponsored noopener noreferrer,Source: assets/js/generated/gear-stands.json L350
Stands & Cabinets — 75-up,"GDLF 100-150 Gallon Fish Tank Stand, 120 Gallon Tank Stand with 60″ × 24″ Tabletop Fits 100/120/150 Volumes Aquariums, 2200 LBS Capacity Heavy Duty",https://amzn.to/3ILng4n,affiliate,sponsored noopener noreferrer,Source: assets/js/generated/gear-stands.json L376
Stands & Cabinets — 75-up,"VOWNER 100-150 Gallon Fish Tank Stand with Power Outlet, Heavy Duty Aquarium Stand with Cabinet Storage for Fish Tank, Turtle Tank, Reptile Terrarium, 60″ L × 23.6″ W Tabletop, 2200 LBS Capacity, Black",https://amzn.to/4mVF4HQ,affiliate,sponsored noopener noreferrer,Source: assets/js/generated/gear-stands.json L402
Stands & Cabinets — 75-up,"DWVO 75-120 Gallon Aquarium Stand with Power Outlet & LED Light, Cabinet for Accessories Storage – Heavy Duty Metal Fish Tank Stand Suitable for Turtle Tank, Reptile Terrarium, 2000 LBS Capacity, White",https://amzn.to/3VVta5Y,affiliate,sponsored noopener noreferrer,Source: assets/js/generated/gear-stands.json L428
